date,ROE%
2014-03-01,0.22
2015-03-01,0.2
2016-03-01,0.19
2017-03-01,0.18
2018-03-01,0.18
2019-03-01,0.17
2020-03-01,0.16
2021-03-01,0.16
2022-03-01,0.17
2023-03-01,0.17
2024-03-01,0.17
2025-03-01,0.14
