date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2023-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,4.0,83.0,112.0,-24.0,-19.0,0.0
2025-03-01,7.0,139.0,128.0,18.0,-19.0,0.96
