date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2011-12-01,152.0,69.0,146.0,75.0,39.0,0.0
2012-12-01,157.0,68.0,141.0,84.0,43.0,0.1
2024-12-01,0.0,0.0,0.0,0.0,0.0,0.0
