date,ROE%
2015-03-01,0.0
2016-03-01,0.21
2017-03-01,0.22
2018-03-01,0.2
2019-03-01,0.22
2020-03-01,0.2
2021-03-01,0.13
2022-03-01,0.17
2023-03-01,0.23
2024-03-01,0.22
2025-03-01,0.19
