date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2019-03-01,41.0,83.0,40.0,85.0,67.0,0.0
2020-03-01,34.0,94.0,50.0,77.0,49.0,0.23
2021-03-01,40.0,111.0,57.0,93.0,53.0,0.22
2022-03-01,33.0,108.0,48.0,93.0,51.0,0.16
2023-03-01,31.0,90.0,40.0,82.0,60.0,0.2
2024-03-01,35.0,90.0,40.0,86.0,52.0,0.19
2025-03-01,36.0,92.0,46.0,83.0,41.0,0.16
