date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2023-03-01,113.0,0.0,0.0,113.0,3644.0,0.0
2024-03-01,3.0,0.0,0.0,3.0,21.0,0.02
2025-03-01,3.0,0.0,0.0,3.0,-37.0,0.01
