date,ROE%
2016-03-01,0.0
2017-03-01,0.15
2018-03-01,0.16
2019-03-01,0.13
2020-03-01,0.15
2021-03-01,0.07
2022-03-01,0.1
2023-03-01,0.14
2024-03-01,0.15
2025-03-01,0.04
