date,ROE%
2014-03-01,0.17
2015-03-01,0.12
2016-03-01,0.12
2017-03-01,0.12
2018-03-01,0.2
2019-03-01,0.17
2020-03-01,0.15
2021-03-01,0.13
2022-03-01,0.11
2023-03-01,0.17
2024-03-01,0.15
2025-03-01,0.16
