date,DebtorDays,InventoryDays,DaysPayable,CashConversionCycle,WorkingCapitalDays,ROCE%
2014-03-01,61.0,0.0,0.0,61.0,15.0,0.36
2015-03-01,66.0,0.0,0.0,66.0,3.0,0.36
2016-03-01,66.0,0.0,0.0,66.0,34.0,0.33
2017-03-01,66.0,0.0,0.0,66.0,38.0,0.3
2018-03-01,68.0,0.0,0.0,68.0,50.0,0.3
2019-03-01,65.0,0.0,0.0,65.0,36.0,0.32
2020-03-01,74.0,0.0,0.0,74.0,42.0,0.32
2021-03-01,70.0,0.0,0.0,70.0,36.0,0.35
2022-03-01,68.0,0.0,0.0,68.0,28.0,0.37
2023-03-01,63.0,0.0,0.0,63.0,31.0,0.4
2024-03-01,72.0,0.0,0.0,72.0,54.0,0.4
2025-03-01,70.0,0.0,0.0,70.0,39.0,0.38
