date,ROE%
2014-03-01,0.13
2015-03-01,0.15
2016-03-01,0.06
2017-03-01,0.1
2018-03-01,0.09
2019-03-01,0.1
2020-03-01,0.11
2021-03-01,0.11
2022-03-01,0.11
2023-03-01,0.15
2024-03-01,0.15
2025-03-01,0.13
