,token,name,symbol
9265,99919000,SENSEX,SENSEX
9266,99919001,S&P BSE PSU,BSEPSU
9267,99919002,S&P BSE 100,BSE100
9268,99919003,S&P BSE 200,BSE200
9269,99919004,S&P BSE 500,BSE500
9270,99919005,S&P BSE INFORMATION TECHNOLOGY,BSE IT
9271,99919006,S&P BSE FAST MOVING CONSUMER GOODS,BSEFMC
9272,99919007,S&P BSE CAPITAL GOODS,BSE CG
9273,99919008,S&P BSE CONSUMER DURABLES,BSE CD
9274,99919009,S&P BSE HEALTHCARE,BSE HC
9275,99919011,S&P BSE TECK,TECK
9276,99919012,BANKEX,BANKEX
9277,99919013,S&P BSE AUTO,AUTO
9278,99919014,S&P BSE METAL,METAL
9279,99919015,S&P BSE CPSE,CPSE
9280,99919016,S&P BSE MIDCAP,MIDCAP
9281,99919017,S&P BSE SMALLCAP,SMLCAP
9282,99919018,S&P BSE DOLLEX 30,DOL30
9283,99919019,S&P BSE DOLLEX 100,DOL100
9284,99919020,S&P BSE DOLLEX 200,DOL200
9285,99919042,S&P BSE LARGECAP,LRGCAP
9286,99919043,S&P BSE MIDCAP SELECT INDEX,MIDSEL
9287,99919044,S&P BSE SMALLCAP SELECT INDEX,SMLSEL
9288,99919051,S&P BSE OIL & GAS,OILGAS
9289,99919052,S&P BSE POWER,POWER
9290,99919053,S&P BSE REALTY,REALTY
9291,99919054,S&P BSE IPO,BSEIPO
9292,99919058,S&P BSE CARBONEX,CARBON
9293,99919059,S&P BSE SME IPO,SMEIPO
9294,99919060,S&P BSE INDIA INFRASTRUCTURE INDEX,INFRA
9295,99919081,S&P BSE GREENEX,GREENX
9296,99919082,S&P BSE SENSEX 50,SNSX50
9297,99919083,S&P BSE SENSEX NEXT 50,SNXT50
9298,99919084,S&P BSE ENERGY,ENERGY
9299,99919085,S&P BSE FINANCIAL SERVICES,FINSER
9300,99919086,S&P BSE INDUSTRIALS,INDSTR
9301,99919087,S&P BSE TELECOM,TELCOM
9302,99919088,S&P BSE 150 MIDCAP INDEX,MID150
9303,99919089,S&P BSE 250 LARGEMIDCAP INDEX,LMI250
9304,99919090,S&P BSE 400 MIDSMALLCAP INDEX,MSL400
9305,47,SX50,SX50
9306,500008,ARE&M,ARE&M
9307,500067,BLUESTARCO,BLUESTARCO
9308,500069,QUESTCAP,QUESTCAP
