date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,RawPDF
2022-12-01,38318.0,28951.0,9367.0,0.24,769.0,80.0,1125.0,8931.0,0.26,6586.0,15.7,/company/source/quarter/1489/12/2022/
2023-03-01,37441.0,28443.0,8998.0,0.24,671.0,82.0,1121.0,8466.0,0.28,6134.0,14.77,/company/source/quarter/1489/3/2023/
2023-06-01,37933.0,28869.0,9064.0,0.24,561.0,90.0,1173.0,8362.0,0.29,5945.0,14.32,/company/source/quarter/1489/6/2023/
2023-09-01,38994.0,29554.0,9440.0,0.24,632.0,138.0,1166.0,8768.0,0.29,6215.0,14.97,/company/source/quarter/1489/9/2023/
2023-12-01,38821.0,29684.0,9137.0,0.24,789.0,131.0,1176.0,8619.0,0.29,6113.0,14.71,/company/source/quarter/1489/12/2023/
2024-03-01,37923.0,29139.0,8784.0,0.23,2729.0,110.0,1163.0,10240.0,0.22,7975.0,19.2,/company/source/quarter/1489/3/2024/
2024-06-01,39315.0,29878.0,9437.0,0.24,838.0,105.0,1149.0,9021.0,0.29,6374.0,15.34,/company/source/quarter/1489/6/2024/
2024-09-01,40986.0,31177.0,9809.0,0.24,712.0,108.0,1160.0,9253.0,0.3,6516.0,15.67,/company/source/quarter/1489/9/2024/
2024-12-01,41764.0,31649.0,10115.0,0.24,859.0,101.0,1203.0,9670.0,0.29,6822.0,16.39,/company/source/quarter/1489/12/2024/
2025-03-01,40925.0,31051.0,9874.0,0.24,1190.0,102.0,1299.0,9663.0,0.27,7038.0,16.93,/company/source/quarter/1489/3/2025/
2025-06-01,42279.0,32336.0,9943.0,0.24,1042.0,105.0,1140.0,9740.0,0.29,6924.0,16.66,/company/source/quarter/1489/6/2025/
2025-09-01,44490.0,33955.0,10535.0,0.24,982.0,106.0,1182.0,10229.0,0.28,7375.0,17.73,/company/source/quarter/1489/9/2025/
2025-12-01,45479.0,34845.0,10634.0,0.23,-150.0,100.0,1155.0,9229.0,0.28,6666.0,16.41,/company/source/quarter/1489/12/2025/
