date,Revenue ,Interest,Expenses ,FinancingProfit,FinancingMargin%,OtherIncome ,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,GrossNPA%,NetNPA%,RawPDF
2022-12-01,4698.0,2585.0,1544.0,569.0,0.12,565.0,0.0,1134.0,0.25,856.0,3.99,0.0242,0.0077,/company/source/quarter/1002/12/2022/
2023-03-01,5012.0,2938.0,1574.0,500.0,0.1,768.0,0.0,1269.0,0.26,964.0,4.51,0.0235,0.0073,/company/source/quarter/1002/3/2023/
2023-06-01,5350.0,3255.0,1634.0,461.0,0.09,741.0,0.0,1202.0,0.26,894.0,4.16,0.023700000000000002,0.0074,/company/source/quarter/1002/6/2023/
2023-09-01,5791.0,3544.0,1661.0,586.0,0.1,757.0,0.0,1343.0,0.26,1007.0,4.23,0.0227,0.0068000000000000005,/company/source/quarter/1002/9/2023/
2023-12-01,6085.0,3760.0,1814.0,511.0,0.08,908.0,0.0,1420.0,0.25,1067.0,4.26,0.022799999999999997,0.0068000000000000005,/company/source/quarter/1002/12/2023/
2024-03-01,6339.0,3936.0,1917.0,486.0,0.08,810.0,0.0,1296.0,0.25,996.0,3.99,0.021099999999999997,0.0063,/company/source/quarter/1002/3/2024/
2024-06-01,6728.0,4212.0,2048.0,468.0,0.07,936.0,0.0,1404.0,0.26,1047.0,4.2,0.0,0.0,/company/source/quarter/1002/6/2024/
2024-09-01,7006.0,4393.0,2149.0,463.0,0.07,1010.0,0.0,1473.0,0.25,1115.0,4.47,0.0,0.0,/company/source/quarter/1002/9/2024/
2024-12-01,7265.0,4570.0,2349.0,346.0,0.05,931.0,0.0,1277.0,0.26,951.0,3.85,0.0,0.0,/company/source/quarter/1002/12/2024/
2025-03-01,7108.0,4456.0,2265.0,386.0,0.05,1047.0,0.0,1434.0,0.23,1120.0,4.44,0.0,0.0,/company/source/quarter/1002/3/2025/
2025-06-01,7151.0,4540.0,2506.0,105.0,0.01,1164.0,0.0,1270.0,0.25,951.0,3.74,0.0,0.0,/company/source/quarter/1002/6/2025/
2025-09-01,7216.0,4429.0,2519.0,267.0,0.04,1105.0,0.0,1373.0,0.26,1023.0,4.03,0.0,0.0,/company/source/quarter/1002/9/2025/
2025-12-01,7360.0,4401.0,2595.0,365.0,0.05,1143.0,0.0,1507.0,0.25,1125.0,4.44,0.0,0.0,/company/source/quarter/1002/12/2025/
