date,Revenue ,Interest,Expenses ,FinancingProfit,FinancingMargin%,OtherIncome ,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,GrossNPA%,NetNPA%,RawPDF
2022-12-01,10787.0,3351.0,3308.0,4129.0,0.38,2.0,119.0,4012.0,0.26,2973.0,4.91,0.011399999999999999,0.0040999999999999995,/company/source/quarter/372/12/2022/
2023-03-01,11364.0,3592.0,3382.0,4390.0,0.39,5.0,134.0,4261.0,0.26,3158.0,5.22,0.009399999999999999,0.0034000000000000002,/company/source/quarter/372/3/2023/
2023-06-01,12498.0,4103.0,3693.0,4703.0,0.38,5.0,156.0,4551.0,0.24,3437.0,5.67,0.0087,0.0031,/company/source/quarter/372/6/2023/
2023-09-01,13382.0,4537.0,3931.0,4914.0,0.37,2.0,159.0,4758.0,0.25,3551.0,5.86,0.0091,0.0031,/company/source/quarter/372/9/2023/
2023-12-01,14164.0,4868.0,4229.0,5066.0,0.36,5.0,176.0,4896.0,0.26,3639.0,5.89,0.0095,0.0037,/company/source/quarter/372/12/2023/
2024-03-01,14926.0,5217.0,4420.0,5289.0,0.35,9.0,193.0,5105.0,0.25,3825.0,6.18,0.0085,0.0037,/company/source/quarter/372/3/2024/
2024-06-01,16100.0,5684.0,4956.0,5460.0,0.34,5.0,200.0,5265.0,0.26,3912.0,6.32,0.0086,0.0038,/company/source/quarter/372/6/2024/
2024-09-01,17091.0,6149.0,5338.0,5604.0,0.33,7.0,210.0,5401.0,0.26,4014.0,6.46,0.0106,0.0046,/company/source/quarter/372/9/2024/
2024-12-01,18035.0,6386.0,5691.0,5958.0,0.33,26.0,219.0,5765.0,0.25,4308.0,6.86,0.011200000000000002,0.0048,/company/source/quarter/372/12/2024/
2025-03-01,18457.0,6552.0,6026.0,5879.0,0.32,21.0,252.0,5647.0,0.2,4546.0,7.21,0.0096,0.0044,/company/source/quarter/372/3/2025/
2025-06-01,19524.0,6918.0,5992.0,6614.0,0.34,5.0,251.0,6368.0,0.25,4765.0,7.56,0.0103,0.005,/company/source/quarter/372/6/2025/
2025-09-01,20179.0,7011.0,6307.0,6861.0,0.34,5.0,258.0,6608.0,0.25,4948.0,7.84,0.0124,0.006,/company/source/quarter/372/9/2025/
2025-12-01,21214.0,7339.0,7938.0,5937.0,0.28,-262.0,244.0,5431.0,0.25,4066.0,6.39,0.0121,0.004699999999999999,/company/source/quarter/372/12/2025/
