date,Revenue ,Interest,Expenses ,FinancingProfit,FinancingMargin%,OtherIncome ,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,GrossNPA%,NetNPA%,RawPDF
2022-12-01,11011.0,3802.0,9345.0,-2136.0,-0.19,7360.0,0.0,5224.0,0.24,3995.0,4.02,0.0191,0.0048,/company/source/quarter/1818/12/2022/
2023-03-01,11982.0,4230.0,10548.0,-2796.0,-0.23,8785.0,0.0,5989.0,0.24,4566.0,4.6,0.0176,0.0040999999999999995,/company/source/quarter/1818/3/2023/
2023-06-01,12869.0,4834.0,10303.0,-2269.0,-0.18,7855.0,0.0,5586.0,0.26,4150.0,4.18,0.0175,0.0043,/company/source/quarter/1818/6/2023/
2023-09-01,13717.0,5536.0,10136.0,-1955.0,-0.14,7843.0,0.0,5888.0,0.25,4461.0,4.49,0.0169,0.0039000000000000003,/company/source/quarter/1818/9/2023/
2023-12-01,14495.0,5985.0,12484.0,-3975.0,-0.27,9588.0,0.0,5614.0,0.25,4265.0,4.29,0.0168,0.0036,/company/source/quarter/1818/12/2023/
2024-03-01,15156.0,6212.0,14920.0,-5976.0,-0.39,12751.0,0.0,6775.0,0.23,5337.0,5.37,0.0138,0.0036,/company/source/quarter/1818/3/2024/
2024-06-01,15837.0,6805.0,12263.0,-3231.0,-0.2,13042.0,0.0,9811.0,0.25,7448.0,7.49,0.0139,0.0038,/company/source/quarter/1818/6/2024/
2024-09-01,16427.0,7139.0,13094.0,-3806.0,-0.23,10453.0,0.0,6647.0,0.25,5044.0,5.07,0.0148,0.0045000000000000005,/company/source/quarter/1818/9/2024/
2024-12-01,16633.0,7170.0,10596.0,-1133.0,-0.07,7313.0,0.0,6180.0,0.25,4701.0,4.73,0.0151,0.0044,/company/source/quarter/1818/12/2024/
2025-03-01,16772.0,7160.0,13664.0,-4051.0,-0.24,10402.0,0.0,6351.0,0.23,4933.0,4.96,0.014499999999999999,0.0036,/company/source/quarter/1818/3/2025/
2025-06-01,17248.0,7527.0,13123.0,-3402.0,-0.2,9456.0,0.0,6053.0,0.27,4472.0,4.5,0.0,0.0,/company/source/quarter/1818/6/2025/
2025-09-01,17199.0,7333.0,11606.0,-1740.0,-0.1,7703.0,0.0,5963.0,0.25,4468.0,4.49,0.0,0.0,/company/source/quarter/1818/9/2025/
2025-12-01,17507.0,7384.0,13933.0,-3811.0,-0.22,10344.0,0.0,6533.0,0.25,4924.0,4.95,0.0,0.0,/company/source/quarter/1818/12/2025/
