date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,RawPDF
2022-12-01,981.0,901.0,80.0,0.08,23.0,6.0,33.0,64.0,0.27,46.0,2.27,/company/source/quarter/387/12/2022/
2023-03-01,1492.0,1088.0,404.0,0.27,22.0,21.0,40.0,364.0,0.3,254.0,12.61,/company/source/quarter/387/3/2023/
2023-06-01,1390.0,1226.0,163.0,0.12,18.0,34.0,41.0,107.0,0.31,74.0,3.64,/company/source/quarter/387/6/2023/
2023-09-01,1539.0,1375.0,165.0,0.11,116.0,17.0,41.0,223.0,0.25,166.0,8.24,/company/source/quarter/387/9/2023/
2023-12-01,1230.0,1117.0,113.0,0.09,60.0,8.0,42.0,123.0,0.26,91.0,4.53,/company/source/quarter/387/12/2023/
2024-03-01,1434.0,1090.0,345.0,0.24,12.0,25.0,43.0,289.0,0.3,203.0,10.08,/company/source/quarter/387/3/2024/
2024-06-01,1422.0,1255.0,166.0,0.12,15.0,36.0,43.0,102.0,0.31,70.0,3.48,/company/source/quarter/387/6/2024/
2024-09-01,1298.0,1249.0,49.0,0.04,73.0,20.0,43.0,59.0,-0.14,67.0,3.33,/company/source/quarter/387/9/2024/
2024-12-01,1192.0,1068.0,124.0,0.1,16.0,7.0,44.0,89.0,0.21,70.0,3.49,/company/source/quarter/387/12/2024/
2025-03-01,1504.0,1138.0,365.0,0.24,20.0,30.0,43.0,312.0,0.26,229.0,11.35,/company/source/quarter/387/3/2025/
2025-06-01,1542.0,1408.0,134.0,0.09,16.0,34.0,44.0,73.0,0.29,52.0,2.55,/company/source/quarter/387/6/2025/
2025-09-01,1671.0,1550.0,120.0,0.07,18.0,14.0,44.0,80.0,0.33,54.0,2.67,/company/source/quarter/387/9/2025/
2025-12-01,1454.0,1252.0,202.0,0.14,17.0,4.0,44.0,171.0,0.34,113.0,5.62,/company/source/quarter/387/12/2025/
