date,Revenue ,Interest,Expenses ,FinancingProfit,FinancingMargin%,OtherIncome ,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,GrossNPA%,NetNPA%,RawPDF
2022-12-01,31619.0,12978.0,22946.0,-4305.0,-0.14,16470.0,-0.0,12165.0,0.25,9166.0,12.6,0.0,0.0,/company/source/quarter/1384/12/2022/
2023-03-01,34439.0,14479.0,25959.0,-6000.0,-0.17,19735.0,-0.0,13735.0,0.25,10236.0,14.11,0.0,0.0,/company/source/quarter/1384/3/2023/
2023-06-01,37106.0,16368.0,21402.0,-663.0,-0.02,15229.0,-0.0,14566.0,0.24,11014.0,15.2,0.0,0.0,/company/source/quarter/1384/6/2023/
2023-09-01,38938.0,17908.0,24560.0,-3530.0,-0.09,18690.0,-0.0,15160.0,0.25,11351.0,15.56,0.0,0.0,/company/source/quarter/1384/9/2023/
2023-12-01,40865.0,19409.0,24929.0,-3473.0,-0.08,18615.0,-0.0,15142.0,0.26,11515.0,15.76,0.0,0.0,/company/source/quarter/1384/12/2023/
2024-03-01,42607.0,20424.0,30604.0,-8421.0,-0.2,24575.0,-0.0,16154.0,0.26,12200.0,16.62,0.0,0.0,/company/source/quarter/1384/3/2024/
2024-06-01,44582.0,21122.0,29387.0,-5927.0,-0.13,22688.0,-0.0,16761.0,0.26,12463.0,16.62,0.0,0.0,/company/source/quarter/1384/6/2024/
2024-09-01,46326.0,22225.0,32221.0,-8120.0,-0.18,26617.0,-0.0,18496.0,0.25,13906.0,18.38,0.0,0.0,/company/source/quarter/1384/9/2024/
2024-12-01,47037.0,22633.0,33510.0,-9106.0,-0.19,27589.0,-0.0,18483.0,0.25,13847.0,18.25,0.0,0.0,/company/source/quarter/1384/12/2024/
2025-03-01,48387.0,23047.0,37588.0,-12248.0,-0.25,31361.0,-0.0,19113.0,0.25,14354.0,18.96,0.0,0.0,/company/source/quarter/1384/3/2025/
2025-06-01,49080.0,23090.0,31991.0,-6002.0,-0.12,25496.0,-0.0,19494.0,0.26,14456.0,19.0,0.0,0.0,/company/source/quarter/1384/6/2025/
2025-09-01,48181.0,22017.0,35065.0,-8901.0,-0.18,27966.0,-0.0,19065.0,0.25,14318.0,18.7,0.0,0.0,/company/source/quarter/1384/9/2025/
2025-12-01,48364.0,21874.0,37154.0,-10664.0,-0.22,28418.0,-0.0,17754.0,0.24,13481.0,17.53,0.0,0.0,/company/source/quarter/1384/12/2025/
