date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,RawPDF
2022-09-01,168656.0,155311.0,13346.0,0.08,2315.0,1993.0,4443.0,9224.0,0.26,6830.0,6.6,/company/source/quarter/2320/9/2022/
2022-12-01,169213.0,147346.0,21867.0,0.13,2807.0,2188.0,6784.0,15702.0,0.26,11665.0,9.13,/company/source/quarter/2320/12/2022/
2023-03-01,164067.0,143527.0,20539.0,0.13,-4786.0,2068.0,6744.0,6941.0,0.07,6478.0,3.57,/company/source/quarter/2320/3/2023/
2023-06-01,163824.0,133029.0,30795.0,0.19,3069.0,2364.0,7078.0,24422.0,0.27,17893.0,11.64,/company/source/quarter/2320/6/2023/
2023-09-01,147614.0,119534.0,28080.0,0.19,3673.0,3243.0,7079.0,21431.0,0.25,16171.0,10.89,/company/source/quarter/2320/9/2023/
2023-12-01,167357.0,146996.0,20360.0,0.12,4299.0,3203.0,7494.0,13962.0,0.25,10511.0,8.51,/company/source/quarter/2320/12/2023/
2024-03-01,172137.0,148913.0,23224.0,0.13,3375.0,3608.0,8420.0,14570.0,0.24,11096.0,7.97,/company/source/quarter/2320/3/2024/
2024-06-01,168968.0,147183.0,21785.0,0.13,3535.0,3694.0,8501.0,13125.0,0.26,9776.0,7.93,/company/source/quarter/2320/6/2024/
2024-09-01,159331.0,138757.0,20574.0,0.13,4162.0,3827.0,8254.0,12655.0,0.22,9841.0,8.14,/company/source/quarter/2320/9/2024/
2024-12-01,166097.0,141819.0,24278.0,0.15,2411.0,3670.0,9497.0,13522.0,0.28,9784.0,6.85,/company/source/quarter/2320/12/2024/
2025-03-01,170812.0,148727.0,22085.0,0.13,3465.0,3500.0,9043.0,13006.0,0.32,8856.0,5.82,/company/source/quarter/2320/3/2025/
2025-06-01,163108.0,137429.0,25679.0,0.16,2555.0,3341.0,9384.0,15509.0,0.26,11554.0,7.79,/company/source/quarter/2320/6/2025/
2025-09-01,157911.0,131390.0,26521.0,0.17,3447.0,3411.0,9273.0,17284.0,0.27,12615.0,8.57,/company/source/quarter/2320/9/2025/
