date,Revenue ,Interest,Expenses ,FinancingProfit,FinancingMargin%,OtherIncome ,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,GrossNPA%,NetNPA%,RawPDF
2022-09-01,84463.0,45232.0,49208.0,-9977.0,-0.12,30320.0,0.0,20342.0,0.26,15297.0,16.53,0.0,0.0,/company/source/quarter/3188/9/2022/
2022-12-01,91518.0,49366.0,56498.0,-14346.0,-0.16,35701.0,0.0,21355.0,0.27,15888.0,17.34,0.0,0.0,/company/source/quarter/3188/12/2022/
2023-03-01,98083.0,53451.0,59965.0,-15334.0,-0.16,38769.0,0.0,23436.0,0.22,18769.0,20.27,0.0,0.0,/company/source/quarter/3188/3/2023/
2023-06-01,101460.0,58045.0,49080.0,-5665.0,-0.06,30873.0,0.0,25208.0,0.26,19094.0,20.77,0.0,0.0,/company/source/quarter/3188/6/2023/
2023-09-01,107391.0,62955.0,59365.0,-14930.0,-0.14,36865.0,0.0,21936.0,0.25,16648.0,18.04,0.0253,0.0063,/company/source/quarter/3188/9/2023/
2023-12-01,112868.0,68092.0,62635.0,-17858.0,-0.16,33103.0,0.0,15245.0,0.26,11598.0,12.4,0.0,0.0,/company/source/quarter/3188/12/2023/
2024-03-01,117469.0,70644.0,65418.0,-18593.0,-0.16,47445.0,0.0,28852.0,0.25,22203.0,23.96,0.0,0.0,/company/source/quarter/3188/3/2024/
2024-06-01,118242.0,71701.0,53996.0,-7455.0,-0.06,33883.0,0.0,26428.0,0.26,20094.0,21.65,0.0,0.0,/company/source/quarter/3188/6/2024/
2024-09-01,121045.0,73619.0,62709.0,-15283.0,-0.13,42758.0,0.0,27474.0,0.26,20565.0,22.17,0.0213,0.0052,/company/source/quarter/3188/9/2024/
2024-12-01,124654.0,77397.0,64890.0,-17634.0,-0.14,43200.0,0.0,25566.0,0.25,19484.0,21.12,0.0,0.0,/company/source/quarter/3188/12/2024/
2025-03-01,126997.0,78227.0,74438.0,-25668.0,-0.2,52565.0,0.0,26897.0,0.26,20379.0,21.96,0.0,0.0,/company/source/quarter/3188/3/2025/
2025-06-01,125729.0,78266.0,59496.0,-12034.0,-0.1,41263.0,0.0,29229.0,0.26,22121.0,23.76,0.0,0.0,/company/source/quarter/3188/6/2025/
2025-09-01,128040.0,78002.0,72265.0,-22227.0,-0.17,50884.0,0.0,28657.0,0.25,21861.0,22.9,0.0,0.0,/company/source/quarter/3188/9/2025/
2025-12-01,130590.0,78783.0,76799.0,-24992.0,-0.19,55059.0,0.0,30067.0,0.27,22176.0,23.09,0.0,0.0,/company/source/quarter/3188/12/2025/
