date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,RawPDF
2022-12-01,3475.0,3021.0,454.0,0.13,128.0,24.0,75.0,482.0,0.23,364.0,3.65,/company/source/quarter/3367/12/2022/
2023-03-01,3619.0,3107.0,512.0,0.14,49.0,28.0,83.0,450.0,0.23,290.0,2.78,/company/source/quarter/3367/3/2023/
2023-06-01,3741.0,3196.0,545.0,0.15,53.0,26.0,82.0,489.0,0.27,338.0,3.28,/company/source/quarter/3367/6/2023/
2023-09-01,3734.0,3197.0,537.0,0.14,75.0,28.0,94.0,491.0,0.27,364.0,3.51,/company/source/quarter/3367/9/2023/
2023-12-01,3804.0,3232.0,572.0,0.15,-32.0,33.0,86.0,422.0,0.25,302.0,2.89,/company/source/quarter/3367/12/2023/
2024-03-01,3927.0,3297.0,630.0,0.16,-177.0,43.0,116.0,294.0,0.09,212.0,2.19,/company/source/quarter/3367/3/2024/
2024-06-01,4352.0,3685.0,667.0,0.15,22.0,94.0,148.0,448.0,0.3,289.0,2.93,/company/source/quarter/3367/6/2024/
2024-09-01,4214.0,3588.0,626.0,0.15,19.0,99.0,149.0,397.0,0.1,367.0,3.68,/company/source/quarter/3367/9/2024/
2024-12-01,4444.0,3879.0,565.0,0.13,45.0,58.0,150.0,402.0,0.25,282.0,2.82,/company/source/quarter/3367/12/2024/
2025-03-01,4608.0,3987.0,621.0,0.13,102.0,40.0,153.0,530.0,0.23,349.0,3.49,/company/source/quarter/3367/3/2025/
2025-06-01,4779.0,4172.0,607.0,0.13,41.0,34.0,149.0,465.0,0.26,332.0,3.38,/company/source/quarter/3367/6/2025/
2025-09-01,4966.0,4294.0,672.0,0.14,38.0,33.0,153.0,523.0,0.24,407.0,4.09,/company/source/quarter/3367/9/2025/
2025-12-01,5112.0,4391.0,721.0,0.14,10.0,32.0,159.0,540.0,0.25,385.0,3.89,/company/source/quarter/3367/12/2025/
