date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,RawPDF
2022-12-01,1948.0,2314.0,-366.0,-0.19,173.0,16.0,155.0,-364.0,-0.05,-347.0,-0.41,/company/source/quarter/1274894/12/2022/
2023-03-01,2056.0,2282.0,-226.0,-0.11,171.0,15.0,134.0,-204.0,-0.08,-188.0,-0.22,/company/source/quarter/1274894/3/2023/
2023-06-01,2416.0,2464.0,-48.0,-0.02,181.0,18.0,130.0,-15.0,-1.13,2.0,0.0,/company/source/quarter/1274894/6/2023/
2023-09-01,2848.0,2895.0,-47.0,-0.02,212.0,16.0,128.0,21.0,-0.71,36.0,0.04,/company/source/quarter/1274894/9/2023/
2023-12-01,3288.0,3237.0,51.0,0.02,219.0,18.0,128.0,124.0,-0.11,138.0,0.16,/company/source/quarter/1274894/12/2023/
2024-03-01,3562.0,3476.0,86.0,0.02,235.0,20.0,140.0,161.0,-0.09,175.0,0.2,/company/source/quarter/1274894/3/2024/
2024-06-01,4206.0,4029.0,177.0,0.04,236.0,25.0,149.0,239.0,-0.06,253.0,0.29,/company/source/quarter/1274894/6/2024/
2024-09-01,4799.0,4573.0,226.0,0.05,221.0,30.0,180.0,237.0,0.26,176.0,0.2,/company/source/quarter/1274894/9/2024/
2024-12-01,5405.0,5243.0,162.0,0.03,252.0,43.0,247.0,124.0,0.52,59.0,0.06,/company/source/quarter/1274894/12/2024/
2025-03-01,5833.0,5761.0,72.0,0.01,368.0,56.0,287.0,97.0,0.6,39.0,0.04,/company/source/quarter/1274894/3/2025/
2025-06-01,7167.0,7052.0,115.0,0.02,354.0,67.0,314.0,88.0,0.72,25.0,0.03,/company/source/quarter/1274894/6/2025/
2025-09-01,13590.0,13351.0,239.0,0.02,352.0,86.0,376.0,129.0,0.5,65.0,0.07,/company/source/quarter/1274894/9/2025/
2025-12-01,16315.0,15947.0,368.0,0.02,348.0,107.0,439.0,170.0,0.4,102.0,0.11,/company/source/quarter/1274894/12/2025/
