date,Revenue ,Interest,Expenses ,FinancingProfit,FinancingMargin%,OtherIncome ,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,GrossNPA%,NetNPA%,RawPDF
2022-12-01,7795.0,3241.0,2082.0,2473.0,0.32,3.0,61.0,2415.0,0.25,1802.0,9.61,0.0,0.0,/company/source/quarter/3046/12/2022/
2023-03-01,7966.0,3361.0,2341.0,2265.0,0.28,13.0,427.0,1851.0,0.31,1288.0,6.86,0.0,0.0,/company/source/quarter/3046/3/2023/
2023-06-01,8003.0,3488.0,2141.0,2374.0,0.3,41.0,132.0,2283.0,0.25,1712.0,9.1,0.0,0.0,/company/source/quarter/3046/6/2023/
2023-09-01,8555.0,3622.0,2454.0,2480.0,0.29,47.0,137.0,2391.0,0.25,1792.0,9.52,0.0,0.0,/company/source/quarter/3046/9/2023/
2023-12-01,8922.0,3707.0,2634.0,2581.0,0.29,59.0,147.0,2494.0,0.25,1874.0,9.94,0.0,0.0,/company/source/quarter/3046/12/2023/
2024-03-01,9484.0,3988.0,2712.0,2783.0,0.29,87.0,153.0,2717.0,0.26,2021.0,10.69,0.0,0.0,/company/source/quarter/3046/3/2024/
2024-06-01,9605.0,4129.0,2661.0,2815.0,0.29,54.0,153.0,2715.0,0.25,2031.0,10.76,0.0,0.0,/company/source/quarter/3046/6/2024/
2024-09-01,10090.0,4350.0,2836.0,2903.0,0.29,86.0,159.0,2830.0,0.24,2153.0,11.39,0.0,0.0,/company/source/quarter/3046/9/2024/
2024-12-01,10698.0,4751.0,3033.0,2914.0,0.27,1574.0,162.0,4326.0,0.25,3249.0,17.27,0.0,0.0,/company/source/quarter/3046/12/2024/
2025-03-01,11454.0,5224.0,3293.0,2937.0,0.26,6.0,171.0,2772.0,0.23,2144.0,11.4,0.0,0.0,/company/source/quarter/3046/3/2025/
2025-06-01,11536.0,5401.0,3062.0,3073.0,0.27,6.0,173.0,2906.0,0.26,2159.0,11.48,0.0,0.0,/company/source/quarter/3046/6/2025/
2025-09-01,11912.0,5525.0,3109.0,3279.0,0.28,9.0,174.0,3113.0,0.26,2314.0,12.3,0.0,0.0,/company/source/quarter/3046/9/2025/
2025-12-01,12171.0,5259.0,3397.0,3514.0,0.29,26.0,177.0,3363.0,0.25,2530.0,13.45,0.0,0.0,/company/source/quarter/3046/12/2025/
