date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,RawPDF
2022-12-01,13735.0,11600.0,2135.0,0.16,247.0,113.0,498.0,1771.0,0.27,1285.0,13.32,/company/source/quarter/100068/12/2022/
2023-03-01,13718.0,11915.0,1803.0,0.13,306.0,93.0,490.0,1525.0,0.26,1125.0,11.47,/company/source/quarter/100068/3/2023/
2023-06-01,13159.0,11821.0,1338.0,0.1,200.0,120.0,447.0,971.0,0.28,704.0,7.1,/company/source/quarter/100068/6/2023/
2023-09-01,12864.0,11950.0,914.0,0.07,264.0,98.0,466.0,615.0,0.18,505.0,5.06,/company/source/quarter/100068/9/2023/
2023-12-01,13101.0,11955.0,1146.0,0.09,92.0,116.0,443.0,679.0,0.23,524.0,5.23,/company/source/quarter/100068/12/2023/
2024-03-01,12871.0,11772.0,1099.0,0.09,380.0,58.0,461.0,959.0,0.31,664.0,6.77,/company/source/quarter/100068/3/2024/
2024-06-01,13006.0,11441.0,1564.0,0.12,147.0,72.0,462.0,1178.0,0.27,865.0,8.71,/company/source/quarter/100068/6/2024/
2024-09-01,13313.0,11563.0,1750.0,0.13,522.0,89.0,470.0,1714.0,0.27,1258.0,12.78,/company/source/quarter/100068/9/2024/
2024-12-01,13286.0,11477.0,1809.0,0.14,23.0,76.0,459.0,1297.0,0.24,989.0,10.05,/company/source/quarter/100068/12/2024/
2025-03-01,13384.0,11545.0,1839.0,0.14,173.0,85.0,462.0,1464.0,0.22,1142.0,11.92,/company/source/quarter/100068/3/2025/
2025-06-01,13351.0,11416.0,1935.0,0.14,219.0,78.0,458.0,1618.0,0.3,1129.0,11.65,/company/source/quarter/100068/6/2025/
2025-09-01,13995.0,11830.0,2165.0,0.15,40.0,77.0,469.0,1659.0,0.28,1202.0,12.19,/company/source/quarter/100068/9/2025/
2025-12-01,14393.0,12028.0,2366.0,0.16,-293.0,94.0,474.0,1505.0,0.26,1119.0,11.45,/company/source/quarter/100068/12/2025/
