date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,RawPDF
2022-09-01,34527.0,16933.0,17594.0,0.51,559.0,4940.0,8947.0,4265.0,0.3,2979.0,3.86,/company/source/quarter/467/9/2022/
2022-12-01,35804.0,17720.0,18085.0,0.51,-412.0,4686.0,9298.0,3689.0,0.29,2614.0,2.85,/company/source/quarter/467/12/2022/
2023-03-01,36009.0,17312.0,18697.0,0.52,886.0,5163.0,9406.0,5014.0,0.16,4226.0,5.39,/company/source/quarter/467/3/2023/
2023-06-01,37440.0,17842.0,19598.0,0.52,-2478.0,5614.0,9654.0,1853.0,0.18,1520.0,2.89,/company/source/quarter/467/6/2023/
2023-09-01,37044.0,17530.0,19514.0,0.53,-654.0,5186.0,9734.0,3940.0,0.47,2093.0,2.39,/company/source/quarter/467/9/2023/
2023-12-01,37900.0,18085.0,19815.0,0.52,1013.0,6645.0,10074.0,4108.0,0.3,2876.0,4.34,/company/source/quarter/467/12/2023/
2024-03-01,37599.0,18234.0,19365.0,0.52,-1308.0,5203.0,10075.0,2778.0,0.26,2068.0,3.66,/company/source/quarter/467/3/2024/
2024-06-01,38506.0,18799.0,19708.0,0.51,2010.0,5152.0,10540.0,6025.0,0.22,4718.0,7.31,/company/source/quarter/467/6/2024/
2024-09-01,41473.0,19627.0,21846.0,0.53,475.0,5424.0,11000.0,5897.0,0.3,4153.0,6.31,/company/source/quarter/467/9/2024/
2024-12-01,45129.0,20533.0,24597.0,0.54,9675.0,5676.0,11704.0,16892.0,0.04,16135.0,25.95,/company/source/quarter/467/12/2024/
2025-03-01,47876.0,20867.0,27009.0,0.56,403.0,5502.0,12326.0,9584.0,-0.3,12476.0,19.33,/company/source/quarter/467/3/2025/
2025-06-01,49463.0,21624.0,27839.0,0.56,592.0,5461.0,12465.0,10504.0,0.29,7422.0,10.43,/company/source/quarter/467/6/2025/
2025-09-01,52145.0,22584.0,29561.0,0.57,809.0,4866.0,13182.0,12322.0,0.3,8651.0,11.91,/company/source/quarter/467/9/2025/
