date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,RawPDF
2022-09-01,5211.0,2320.0,2891.0,0.55,441.0,577.0,854.0,1900.0,0.09,1738.0,7.94,/company/source/quarter/57/9/2022/
2022-12-01,4786.0,2090.0,2696.0,0.56,285.0,534.0,884.0,1564.0,0.15,1337.0,6.09,/company/source/quarter/57/12/2022/
2023-03-01,5797.0,2526.0,3271.0,0.56,-885.0,623.0,846.0,917.0,-0.24,1139.0,5.36,/company/source/quarter/57/3/2023/
2023-06-01,6248.0,2558.0,3689.0,0.59,384.0,633.0,950.0,2491.0,0.15,2119.0,9.79,/company/source/quarter/57/6/2023/
2023-09-01,6646.0,2982.0,3664.0,0.55,351.0,520.0,974.0,2521.0,0.3,1762.0,8.09,/company/source/quarter/57/9/2023/
2023-12-01,6920.0,2724.0,4196.0,0.61,507.0,976.0,985.0,2741.0,0.19,2208.0,10.22,/company/source/quarter/57/12/2023/
2024-03-01,6896.0,2887.0,4009.0,0.58,-70.0,619.0,979.0,2341.0,0.14,2015.0,9.44,/company/source/quarter/57/3/2024/
2024-06-01,7560.0,2820.0,4739.0,0.63,349.0,484.0,1012.0,3593.0,0.14,3107.0,14.41,/company/source/quarter/57/6/2024/
2024-09-01,7067.0,2700.0,4367.0,0.62,254.0,659.0,1077.0,2885.0,0.16,2413.0,11.32,/company/source/quarter/57/9/2024/
2024-12-01,7964.0,3161.0,4802.0,0.6,247.0,923.0,1106.0,3020.0,0.17,2518.0,11.67,/company/source/quarter/57/12/2024/
2025-03-01,8488.0,3482.0,5006.0,0.59,426.0,715.0,1185.0,3532.0,0.14,3023.0,13.95,/company/source/quarter/57/3/2025/
2025-06-01,9126.0,3631.0,5495.0,0.6,453.0,846.0,1255.0,3848.0,0.14,3311.0,15.34,/company/source/quarter/57/6/2025/
2025-09-01,9167.0,3827.0,5340.0,0.58,837.0,1223.0,1264.0,3690.0,0.15,3120.0,14.39,/company/source/quarter/57/9/2025/
2025-12-01,9705.0,3919.0,5786.0,0.6,189.0,980.0,1384.0,3611.0,0.16,3043.0,13.25,/company/source/quarter/57/12/2025/
