date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,RawPDF
2023-12-01,4600.0,3505.0,1095.0,0.24,-77.0,23.0,109.0,886.0,0.26,656.0,3.4,/company/source/quarter/2236/12/2023/
2024-06-01,4814.0,3700.0,1114.0,0.23,39.0,32.0,113.0,1009.0,0.26,747.0,3.87,/company/source/quarter/2236/6/2024/
2024-09-01,5104.0,3940.0,1164.0,0.23,190.0,32.0,122.0,1200.0,0.25,899.0,4.66,/company/source/quarter/2236/9/2024/
2024-12-01,4780.0,3685.0,1095.0,0.23,4.0,35.0,150.0,914.0,0.25,688.0,3.57,/company/source/quarter/2236/12/2024/
2025-03-01,5504.0,4127.0,1377.0,0.25,8.0,38.0,155.0,1192.0,0.27,873.0,4.53,/company/source/quarter/2236/3/2025/
2025-06-01,5096.0,4009.0,1088.0,0.21,4.0,47.0,157.0,888.0,0.27,647.0,3.35,/company/source/quarter/2236/6/2025/
2025-09-01,5644.0,4417.0,1227.0,0.22,2.0,46.0,163.0,1018.0,0.27,743.0,3.85,/company/source/quarter/2236/9/2025/
