date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,RawPDF
2022-12-01,14933.0,11815.0,3118.0,0.21,477.0,829.0,1342.0,1423.0,0.0,1423.0,36.91,/company/source/quarter/1273121/12/2022/
2023-03-01,14161.0,11409.0,2752.0,0.19,440.0,918.0,1353.0,920.0,0.0,919.0,23.84,/company/source/quarter/1273121/3/2023/
2023-06-01,16683.0,11709.0,4974.0,0.3,478.0,954.0,1408.0,3091.0,0.0,3091.0,80.16,/company/source/quarter/1273121/6/2023/
2023-09-01,14944.0,12744.0,2200.0,0.15,559.0,1021.0,1549.0,189.0,0.0,189.0,4.9,/company/source/quarter/1273121/9/2023/
2023-12-01,19452.0,14303.0,5149.0,0.26,610.0,1095.0,1666.0,2998.0,0.0,2998.0,77.68,/company/source/quarter/1273121/12/2023/
2024-03-01,17825.0,13832.0,3994.0,0.22,680.0,1099.0,1803.0,1771.0,-0.07,1895.0,49.09,/company/source/quarter/1273121/3/2024/
2024-06-01,19571.0,14412.0,5159.0,0.26,678.0,1158.0,1876.0,2804.0,0.03,2729.0,70.7,/company/source/quarter/1273121/6/2024/
2024-09-01,16970.0,15338.0,1631.0,0.1,789.0,1240.0,2088.0,-907.0,0.09,-987.0,-25.54,/company/source/quarter/1273121/9/2024/
2024-12-01,22111.0,16932.0,5179.0,0.23,882.0,1308.0,2226.0,2527.0,0.03,2449.0,63.38,/company/source/quarter/1273121/12/2024/
2025-03-01,22152.0,16062.0,6089.0,0.27,946.0,1374.0,2491.0,3169.0,0.03,3068.0,79.38,/company/source/quarter/1273121/3/2025/
2025-06-01,20496.0,15270.0,5226.0,0.26,1046.0,1396.0,2566.0,2311.0,0.06,2176.0,56.31,/company/source/quarter/1273121/6/2025/
2025-09-01,18555.0,17976.0,580.0,0.03,1044.0,1465.0,2640.0,-2482.0,0.04,-2582.0,-66.79,/company/source/quarter/1273121/9/2025/
2025-12-01,23472.0,18104.0,5367.0,0.23,-478.0,1545.0,2782.0,562.0,0.02,549.0,14.22,/company/source/quarter/1273121/12/2025/
