date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,RawPDF
2022-12-01,1708.0,1299.0,409.0,0.24,113.0,0.0,87.0,435.0,0.3,306.0,11.53,/company/source/quarter/837/12/2022/
2023-03-01,1951.0,1464.0,487.0,0.25,66.0,0.0,87.0,466.0,0.31,321.0,12.09,/company/source/quarter/837/3/2023/
2023-06-01,1778.0,1274.0,504.0,0.28,81.0,0.0,93.0,492.0,0.28,356.0,13.41,/company/source/quarter/837/6/2023/
2023-09-01,1909.0,1430.0,479.0,0.25,86.0,1.0,95.0,469.0,0.26,348.0,13.11,/company/source/quarter/837/9/2023/
2023-12-01,1855.0,1366.0,489.0,0.26,95.0,0.0,95.0,489.0,0.27,358.0,13.49,/company/source/quarter/837/12/2023/
2024-03-01,2303.0,1572.0,731.0,0.32,79.0,2.0,95.0,713.0,0.25,538.0,20.27,/company/source/quarter/837/3/2024/
2024-06-01,2118.0,1496.0,622.0,0.29,79.0,0.0,97.0,604.0,0.29,430.0,16.2,/company/source/quarter/837/6/2024/
2024-09-01,2338.0,1622.0,716.0,0.31,106.0,1.0,99.0,722.0,0.29,510.0,19.21,/company/source/quarter/837/9/2024/
2024-12-01,2319.0,1576.0,743.0,0.32,82.0,0.0,99.0,726.0,0.19,589.0,22.19,/company/source/quarter/837/12/2024/
2025-03-01,2585.0,1699.0,886.0,0.34,86.0,1.0,107.0,864.0,0.23,662.0,24.94,/company/source/quarter/837/3/2025/
2025-06-01,2410.0,1681.0,729.0,0.3,119.0,3.0,112.0,733.0,0.26,545.0,20.53,/company/source/quarter/837/6/2025/
2025-09-01,2715.0,1827.0,888.0,0.33,145.0,8.0,113.0,912.0,0.24,689.0,25.95,/company/source/quarter/837/9/2025/
2025-12-01,2604.0,1714.0,890.0,0.34,14.0,6.0,118.0,780.0,0.25,583.0,21.96,/company/source/quarter/837/12/2025/
