date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,RawPDF
2022-09-01,38175.0,36306.0,1869.0,0.05,266.0,934.0,531.0,670.0,0.35,432.0,3.61,/company/source/quarter/56/9/2022/
2022-12-01,26612.0,24983.0,1629.0,0.06,339.0,596.0,592.0,780.0,0.18,740.0,6.42,/company/source/quarter/56/12/2022/
2023-03-01,28944.0,25337.0,3607.0,0.12,-15.0,1525.0,895.0,1172.0,0.38,781.0,5.66,/company/source/quarter/56/3/2023/
2023-06-01,22644.0,20119.0,2525.0,0.11,370.0,1103.0,714.0,1079.0,0.33,677.0,5.28,/company/source/quarter/56/6/2023/
2023-09-01,19546.0,17116.0,2430.0,0.12,461.0,1343.0,757.0,791.0,0.5,333.0,1.78,/company/source/quarter/56/9/2023/
2023-12-01,25050.0,21824.0,3226.0,0.13,491.0,597.0,760.0,2361.0,0.19,1973.0,14.79,/company/source/quarter/56/12/2023/
2024-03-01,29180.0,25985.0,3195.0,0.11,-176.0,1513.0,811.0,696.0,0.62,352.0,3.53,/company/source/quarter/56/3/2024/
2024-06-01,25472.0,21767.0,3706.0,0.15,591.0,1130.0,934.0,2232.0,0.26,1772.0,11.39,/company/source/quarter/56/6/2024/
2024-09-01,22608.0,18842.0,3766.0,0.17,583.0,910.0,1035.0,2403.0,0.21,1989.0,13.64,/company/source/quarter/56/9/2024/
2024-12-01,22848.0,19778.0,3070.0,0.13,648.0,2141.0,1006.0,572.0,1.03,229.0,0.45,/company/source/quarter/56/12/2024/
2025-03-01,26966.0,23256.0,3710.0,0.14,4582.0,1796.0,1236.0,5259.0,0.24,4015.0,29.74,/company/source/quarter/56/3/2025/
2025-06-01,21961.0,18651.0,3310.0,0.15,475.0,1035.0,1284.0,1466.0,0.39,976.0,5.68,/company/source/quarter/56/6/2025/
2025-09-01,21249.0,17942.0,3307.0,0.16,4179.0,1711.0,1377.0,4398.0,0.23,3414.0,24.74,/company/source/quarter/56/9/2025/
2025-12-01,24820.0,21178.0,3642.0,0.15,6288.0,1626.0,1372.0,6932.0,0.2,5727.0,43.53,/company/source/quarter/56/12/2025/
