date,Revenue ,Interest,Expenses ,FinancingProfit,FinancingMargin%,OtherIncome ,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,GrossNPA%,NetNPA%,RawPDF
2022-12-01,9457.0,4962.0,3950.0,545.0,0.06,2076.0,-0.0,2622.0,0.25,1964.0,25.32,0.0206,0.0062,/company/source/quarter/1480/12/2022/
2023-03-01,10021.0,5351.0,4096.0,574.0,0.06,2154.0,-0.0,2727.0,0.25,2043.0,26.34,0.019799999999999998,0.0059,/company/source/quarter/1480/3/2023/
2023-06-01,10730.0,5863.0,4237.0,630.0,0.06,2210.0,-0.0,2840.0,0.25,2124.0,27.38,0.0194,0.0058,/company/source/quarter/1480/6/2023/
2023-09-01,11248.0,6171.0,4424.0,653.0,0.06,2282.0,-0.0,2935.0,0.25,2202.0,28.34,0.019299999999999998,0.005699999999999999,/company/source/quarter/1480/9/2023/
2023-12-01,11572.0,6277.0,4618.0,677.0,0.06,2396.0,-0.0,3073.0,0.25,2301.0,29.59,0.0192,0.005699999999999999,/company/source/quarter/1480/12/2023/
2024-03-01,12199.0,6822.0,4753.0,623.0,0.05,2508.0,-0.0,3131.0,0.25,2349.0,30.18,0.0192,0.005699999999999999,/company/source/quarter/1480/3/2024/
2024-06-01,12547.0,7139.0,4947.0,460.0,0.04,2442.0,-0.0,2902.0,0.25,2171.0,27.88,0.0202,0.006,/company/source/quarter/1480/6/2024/
2024-09-01,12686.0,7339.0,5752.0,-405.0,-0.03,2185.0,-0.0,1780.0,0.25,1331.0,17.09,0.021099999999999997,0.0064,/company/source/quarter/1480/9/2024/
2024-12-01,12801.0,7573.0,5726.0,-498.0,-0.04,2355.0,-0.0,1857.0,0.24,1402.0,18.0,0.0225,0.0068000000000000005,/company/source/quarter/1480/12/2024/
2025-03-01,10634.0,7586.0,6770.0,-3722.0,-0.35,709.0,-0.0,-3013.0,-0.23,-2329.0,-29.89,0.0313,0.0095,/company/source/quarter/1480/3/2025/
2025-06-01,12264.0,7624.0,5989.0,-1350.0,-0.11,2157.0,-0.0,807.0,0.25,604.0,7.75,0.0364,0.011200000000000002,/company/source/quarter/1480/6/2025/
2025-09-01,11609.0,7199.0,6644.0,-2235.0,-0.19,1651.0,-0.0,-584.0,-0.25,-437.0,-5.61,0.036000000000000004,0.0104,/company/source/quarter/1480/9/2025/
2025-12-01,11373.0,6811.0,6095.0,-1533.0,-0.13,1707.0,-0.0,174.0,0.26,128.0,1.64,0.0356,0.0104,/company/source/quarter/1480/12/2025/
