date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,-9807.0,3764.0,6521.0,478.0
2015-03-01,-10731.0,3709.0,6839.0,-183.0
2016-03-01,-9795.0,-886.0,11602.0,921.0
2017-03-01,-10922.0,151.0,12513.0,1742.0
2018-03-01,-19580.0,-922.0,19590.0,-911.0
2019-03-01,-27076.0,-6903.0,34535.0,555.0
2020-03-01,-23369.0,-9948.0,34479.0,1162.0
2021-03-01,4547.0,-3684.0,1687.0,2551.0
2022-03-01,-33670.0,1445.0,32326.0,101.0
2023-03-01,-39480.0,-13945.0,51016.0,-2409.0
2024-03-01,-65502.0,-14132.0,82709.0,3075.0
2025-03-01,-62113.0,-7987.0,70191.0,92.0
