date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,3502.0,-2072.0,-1496.0,-66.0
2015-03-01,2114.0,-380.0,-1644.0,90.0
2016-03-01,3690.0,-68.0,-3384.0,238.0
2017-03-01,3267.0,-3610.0,-190.0,-532.0
2018-03-01,4328.0,-1954.0,-1885.0,488.0
2019-03-01,2487.0,-273.0,-2074.0,140.0
2020-03-01,3850.0,1766.0,-6247.0,-630.0
2021-03-01,3120.0,-2869.0,-20.0,231.0
2022-03-01,4197.0,276.0,-4056.0,417.0
2023-03-01,5277.0,1211.0,-7181.0,-692.0
2024-03-01,6558.0,-72.0,-6167.0,319.0
2025-03-01,-1406.0,-1053.0,4230.0,1771.0
