date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,6765.0,-15750.0,7872.0,-1113.0
2015-03-01,-12273.0,-13175.0,24827.0,-621.0
2016-03-01,23645.0,-12060.0,5814.0,17399.0
2017-03-01,52636.0,-1711.0,-35470.0,15455.0
2018-03-01,19383.0,-50551.0,39676.0,8508.0
2019-03-01,48671.0,-30282.0,-19997.0,-1608.0
2020-03-01,79565.0,-42095.0,2992.0,40462.0
2021-03-01,138015.0,-63631.0,-54667.0,19718.0
2022-03-01,58111.0,-40007.0,17451.0,35555.0
2023-03-01,-3771.0,-67689.0,24791.0,-46669.0
2024-03-01,157284.0,-144737.0,13765.0,26312.0
2025-03-01,122805.0,-77140.0,5589.0,51255.0
