date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,15223.0,-26639.0,13712.0,2295.0
2015-03-01,15800.0,-24185.0,6399.0,-1986.0
2016-03-01,15008.0,-21576.0,5621.0,-948.0
2017-03-01,21575.0,-23836.0,3959.0,1698.0
2018-03-01,22710.0,-25701.0,1285.0,-1707.0
2019-03-01,23271.0,-18727.0,-2431.0,2113.0
2020-03-01,30739.0,-10733.0,-18806.0,1199.0
2021-03-01,29403.0,-9244.0,-20521.0,-362.0
2022-03-01,26124.0,753.0,-28967.0,-2091.0
2023-03-01,40203.0,-7138.0,-30450.0,2615.0
2024-03-01,37290.0,-13114.0,-25903.0,-1728.0
2025-03-01,36223.0,-23533.0,-12357.0,333.0
