date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,14525.0,8580.0,-25350.0,-2246.0
2015-03-01,14382.0,894.0,-15026.0,250.0
2016-03-01,13154.0,8154.0,-19587.0,1721.0
2017-03-01,16461.0,455.0,-17598.0,-682.0
2018-03-01,21115.0,-7747.0,-13564.0,-196.0
2019-03-01,16356.0,-7896.0,-10885.0,-2426.0
2020-03-01,4977.0,1033.0,-4791.0,1219.0
2021-03-01,10592.0,182.0,-8453.0,2321.0
2022-03-01,41107.0,-25715.0,-13441.0,1951.0
2023-03-01,35734.0,-23465.0,-13704.0,-1436.0
2024-03-01,18103.0,-4486.0,-13899.0,-282.0
2025-03-01,29200.0,-10076.0,-13308.0,5815.0
