date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,2594.0,-5618.0,3300.0,276.0
2015-03-01,7876.0,-7372.0,-169.0,334.0
2016-03-01,6897.0,-3857.0,-3151.0,-111.0
2017-03-01,7888.0,-5094.0,-2710.0,84.0
2018-03-01,12379.0,-4529.0,-8185.0,-335.0
2019-03-01,14633.0,-11387.0,1753.0,4999.0
2020-03-01,12785.0,-19589.0,5189.0,-1615.0
2021-03-01,18831.0,-9410.0,-1444.0,7977.0
2022-03-01,26270.0,-14748.0,-14657.0,-3135.0
2023-03-01,23323.0,-10730.0,-5977.0,6616.0
2024-03-01,12078.0,-14467.0,-5005.0,-7394.0
2025-03-01,20899.0,-17012.0,-262.0,3625.0
