date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,1970.0,-1604.0,-24.0,342.0
2015-03-01,2524.0,-2370.0,-433.0,-280.0
2016-03-01,3263.0,-1610.0,-1700.0,-47.0
2017-03-01,2144.0,-1890.0,-369.0,-114.0
2018-03-01,1803.0,-1483.0,-444.0,-124.0
2019-03-01,2870.0,-769.0,-2133.0,-31.0
2020-03-01,2984.0,-495.0,-2516.0,-27.0
2021-03-01,3570.0,-2255.0,-30.0,1286.0
2022-03-01,2811.0,-2565.0,-242.0,3.0
2023-03-01,5888.0,-4109.0,-2686.0,-907.0
2024-03-01,4543.0,-4034.0,-376.0,133.0
2025-03-01,4643.0,-5785.0,1891.0,749.0
