date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,1197.0,-737.0,349.0,808.0
2015-03-01,5158.0,-1364.0,-3544.0,250.0
2016-03-01,-1557.0,1990.0,205.0,639.0
2017-03-01,3431.0,-2384.0,985.0,2032.0
2018-03-01,-5051.0,-1579.0,8371.0,1741.0
2019-03-01,7873.0,-3378.0,-3637.0,858.0
2020-03-01,3731.0,-4688.0,3661.0,2704.0
2021-03-01,11179.0,-3913.0,-208.0,7058.0
2022-03-01,-7774.0,901.0,8193.0,1320.0
2023-03-01,489.0,-9860.0,6038.0,-3332.0
2024-03-01,6431.0,-8912.0,3871.0,1390.0
2025-03-01,8801.0,-3799.0,7401.0,12403.0
