date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,9068.0,-1130.0,-5814.0,2125.0
2015-03-01,2302.0,-4467.0,2426.0,260.0
2016-03-01,5025.0,-2353.0,2024.0,4696.0
2017-03-01,13222.0,-5289.0,6055.0,13989.0
2018-03-01,-10392.0,-5475.0,14679.0,-1188.0
2019-03-01,1822.0,-3323.0,8365.0,6864.0
2020-03-01,46619.0,-13068.0,-735.0,32815.0
2021-03-01,4881.0,-11172.0,-10072.0,-16363.0
2022-03-01,8308.0,-10903.0,7543.0,4949.0
2023-03-01,-1242.0,-10381.0,1883.0,-9740.0
2024-03-01,15685.0,-8919.0,15515.0,22281.0
2025-03-01,16916.0,-25226.0,22165.0,13855.0
