date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,1132.0,-2510.0,772.0,-606.0
2015-03-01,3057.0,-2485.0,-237.0,335.0
2016-03-01,2381.0,-4153.0,2170.0,398.0
2017-03-01,4063.0,-2629.0,-1325.0,109.0
2018-03-01,5608.0,-3846.0,-1889.0,-127.0
2019-03-01,6029.0,-4368.0,2313.0,3975.0
2020-03-01,7402.0,-749.0,-4256.0,2397.0
2021-03-01,7556.0,-14064.0,3514.0,-2994.0
2022-03-01,10420.0,-5493.0,-586.0,4341.0
2023-03-01,11900.0,-16716.0,-2734.0,-7550.0
2024-03-01,15018.0,-6947.0,-7800.0,271.0
2025-03-01,17226.0,-9788.0,-6916.0,523.0
