date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,26233.0,-25181.0,2774.0,3826.0
2015-03-01,28059.0,-22301.0,-9672.0,-3914.0
2016-03-01,27942.0,-14091.0,-11946.0,1905.0
2017-03-01,28280.0,-30680.0,-351.0,-2752.0
2018-03-01,29854.0,-27940.0,1920.0,3835.0
2019-03-01,20070.0,-28286.0,9464.0,1248.0
2020-03-01,18129.0,-29598.0,19144.0,7675.0
2021-03-01,48205.0,-27286.0,-24910.0,-3991.0
2022-03-01,55017.0,-41478.0,-15203.0,-1664.0
2023-03-01,65325.0,-39232.0,-24470.0,1623.0
2024-03-01,78898.0,-51089.0,-27778.0,31.0
2025-03-01,98332.0,-60198.0,-36533.0,1601.0
