date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2016-03-01,-2927.0,-258.0,2517.0,-667.0
2017-03-01,11569.0,-285.0,-2768.0,8516.0
2018-03-01,-20700.0,-217.0,15505.0,-5412.0
2019-03-01,-6389.0,-633.0,8590.0,1568.0
2020-03-01,-12907.0,1445.0,12733.0,1271.0
2021-03-01,44976.0,-324.0,-4096.0,40556.0
2022-03-01,16672.0,-395.0,-4302.0,11975.0
2023-03-01,-12442.0,-481.0,1115.0,-11808.0
2024-03-01,-16925.0,-703.0,-2242.0,-19869.0
2025-03-01,18278.0,-685.0,4876.0,22468.0
