date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,557.0,-305.0,-248.0,3.0
2015-03-01,826.0,-521.0,-303.0,3.0
2016-03-01,1038.0,-406.0,-631.0,0.0
2017-03-01,1150.0,-1140.0,2.0,13.0
2018-03-01,776.0,-478.0,-314.0,-17.0
2019-03-01,954.0,-685.0,-246.0,23.0
2020-03-01,1216.0,-83.0,-1091.0,41.0
2021-03-01,1947.0,75.0,-35.0,1987.0
2022-03-01,1912.0,-2195.0,-532.0,-816.0
2023-03-01,2460.0,-2708.0,-797.0,-1045.0
2024-03-01,1261.0,-269.0,-799.0,193.0
2025-03-01,1653.0,-804.0,-799.0,50.0
