date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,9588.0,-6881.0,-3736.0,-1029.0
2015-03-01,20742.0,-10536.0,-9792.0,414.0
2016-03-01,11119.0,-9233.0,-1332.0,555.0
2017-03-01,9041.0,-15274.0,4804.0,-1429.0
2018-03-01,11068.0,-7066.0,-4218.0,-215.0
2019-03-01,10157.0,-10451.0,207.0,-87.0
2020-03-01,7881.0,-11135.0,3583.0,329.0
2021-03-01,23455.0,-2474.0,-13981.0,7000.0
2022-03-01,20336.0,-8138.0,-17672.0,-5474.0
2023-03-01,12466.0,-7806.0,-4402.0,257.0
2024-03-01,35970.0,-10554.0,-25427.0,-12.0
2025-03-01,23678.0,-19180.0,-6241.0,-1743.0
