date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,-7143.0,-5510.0,13136.0,483.0
2015-03-01,-1365.0,-4778.0,7903.0,1759.0
2016-03-01,-3240.0,-4627.0,7253.0,-613.0
2017-03-01,6655.0,-9796.0,2896.0,-245.0
2018-03-01,-10031.0,3914.0,9370.0,3254.0
2019-03-01,-4756.0,-11023.0,15440.0,-338.0
2020-03-01,6694.0,-8408.0,6372.0,4658.0
2021-03-01,23074.0,-5750.0,-15274.0,2049.0
2022-03-01,19164.0,-3585.0,-15181.0,397.0
2023-03-01,22777.0,-8048.0,-11572.0,3156.0
2024-03-01,18266.0,2179.0,-25413.0,-4968.0
2025-03-01,9161.0,-15489.0,6557.0,228.0
