date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,13146.0,-15378.0,1015.0,-1218.0
2015-03-01,11880.0,-9021.0,-2617.0,241.0
2016-03-01,11455.0,-8794.0,-4729.0,-2068.0
2017-03-01,10824.0,-9490.0,-2579.0,-1245.0
2018-03-01,8023.0,-11730.0,6640.0,2933.0
2019-03-01,25336.0,-29176.0,-673.0,-4513.0
2020-03-01,20169.0,-14012.0,-1695.0,4462.0
2021-03-01,44327.0,-9437.0,-37090.0,-2200.0
2022-03-01,44381.0,-10905.0,-23401.0,10075.0
2023-03-01,21683.0,-18179.0,-6981.0,-3477.0
2024-03-01,20301.0,-14253.0,-11097.0,-5049.0
2025-03-01,23512.0,-13985.0,-7002.0,2524.0
