date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,-4055.0,-112.0,5010.0,843.0
2015-03-01,-9611.0,-45.0,7836.0,-1819.0
2016-03-01,-5507.0,-36.0,2822.0,-2721.0
2017-03-01,-2677.0,-2.0,3017.0,338.0
2018-03-01,-13142.0,86.0,13014.0,-42.0
2019-03-01,-5535.0,-76.0,5550.0,-62.0
2020-03-01,-2464.0,-55.0,4579.0,2060.0
2021-03-01,-4239.0,-25.0,12226.0,7962.0
2022-03-01,-8859.0,-34.0,8505.0,-388.0
2023-03-01,-17625.0,5076.0,11820.0,-730.0
2024-03-01,-31118.0,-427.0,27626.0,-3919.0
2025-03-01,-43652.0,3630.0,44521.0,4499.0
