date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,1441.0,-427.0,-1680.0,-667.0
2015-03-01,1409.0,-463.0,-991.0,-45.0
2016-03-01,1396.0,-1734.0,469.0,131.0
2017-03-01,2585.0,-1022.0,140.0,1703.0
2018-03-01,2839.0,-2059.0,-801.0,-21.0
2019-03-01,2356.0,-31282.0,28893.0,-33.0
2020-03-01,8739.0,-2666.0,-2175.0,3898.0
2021-03-01,7212.0,-2426.0,-6713.0,-1927.0
2022-03-01,6496.0,-3575.0,-1921.0,1000.0
2023-03-01,7751.0,-1354.0,-6227.0,170.0
2024-03-01,2321.0,-2509.0,164.0,-24.0
2025-03-01,10151.0,-1823.0,-4793.0,3535.0
