date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,-46.0,-48.0,-50.0,-145.0
2015-03-01,-10.0,-306.0,310.0,-6.0
2016-03-01,109.0,-98.0,-13.0,-2.0
2017-03-01,102.0,-44.0,-51.0,7.0
2018-03-01,77.0,-4.0,-74.0,-1.0
2019-03-01,21.0,-37.0,37.0,21.0
2020-03-01,361.0,-809.0,452.0,5.0
2021-03-01,285.0,18.0,-283.0,20.0
2022-03-01,58.0,56.0,-108.0,6.0
2023-03-01,595.0,-103.0,-491.0,1.0
2024-03-01,1349.0,-508.0,-629.0,211.0
2025-03-01,1661.0,-923.0,-694.0,44.0
