date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,4211.0,-1099.0,9270.0,12382.0
2015-03-01,-21281.0,-800.0,18694.0,-3387.0
2016-03-01,-34435.0,-837.0,37815.0,2542.0
2017-03-01,17282.0,-1146.0,-5893.0,10242.0
2018-03-01,17214.0,-842.0,57378.0,73750.0
2019-03-01,-62872.0,-1503.0,23131.0,-41244.0
2020-03-01,-16869.0,-1403.0,24394.0,6122.0
2021-03-01,42476.0,-1823.0,-7321.0,33332.0
2022-03-01,-11960.0,-2051.0,48124.0,34113.0
2023-03-01,20814.0,-2992.0,23941.0,41762.0
2024-03-01,19069.0,16600.0,-3983.0,31687.0
2025-03-01,127242.0,-3651.0,-102478.0,21113.0
