date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,53270.0,-63633.0,15225.0,4862.0
2015-03-01,33950.0,-30058.0,-10641.0,-6749.0
2016-03-01,46292.0,-38256.0,-8972.0,-935.0
2017-03-01,45780.0,-43815.0,-1867.0,99.0
2018-03-01,56792.0,-66798.0,9909.0,-97.0
2019-03-01,61458.0,-37132.0,-23324.0,1001.0
2020-03-01,70593.0,-53159.0,-16726.0,708.0
2021-03-01,47185.0,-39141.0,-8239.0,-195.0
2022-03-01,78248.0,-41197.0,-35790.0,1261.0
2023-03-01,84211.0,-72799.0,-12916.0,-1504.0
2024-03-01,98847.0,-57423.0,-45009.0,-3586.0
2025-03-01,90868.0,-42901.0,-47908.0,59.0
