date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,67.0,11.0,-26.0,52.0
2015-03-01,215.0,-49.0,-190.0,-24.0
2016-03-01,257.0,-48.0,-195.0,13.0
2017-03-01,159.0,69.0,-203.0,25.0
2018-03-01,19.0,-88.0,51.0,-18.0
2019-03-01,258.0,-65.0,-181.0,13.0
2020-03-01,450.0,-81.0,-167.0,202.0
2021-03-01,350.0,-238.0,-70.0,42.0
2022-03-01,87.0,-67.0,-82.0,-62.0
2023-03-01,243.0,-178.0,-76.0,-11.0
2024-03-01,289.0,-524.0,365.0,130.0
2025-03-01,688.0,-463.0,-162.0,63.0
