date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,-569.0,759.0,-213.0,-23.0
2015-03-01,1434.0,-839.0,-209.0,386.0
2016-03-01,2260.0,-1470.0,-318.0,472.0
2017-03-01,-61.0,3115.0,-2857.0,197.0
2018-03-01,-687.0,-6.0,-1202.0,-1895.0
2019-03-01,1514.0,-896.0,-663.0,-45.0
2020-03-01,2570.0,-649.0,-1061.0,861.0
2021-03-01,5093.0,-2595.0,-1076.0,1422.0
2022-03-01,4207.0,-4872.0,-1078.0,-1742.0
2023-03-01,1267.0,2691.0,-1313.0,2645.0
2024-03-01,4659.0,-5924.0,-1475.0,-2739.0
2025-03-01,587.0,617.0,-1696.0,-493.0
