date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,-555.0,-271.0,497.0,-329.0
2015-03-01,503.0,-118.0,-1005.0,-620.0
2016-03-01,576.0,-159.0,-505.0,-88.0
2017-03-01,1712.0,-953.0,-166.0,594.0
2018-03-01,-51.0,98.0,-252.0,-206.0
2019-03-01,1243.0,-797.0,-489.0,-43.0
2020-03-01,-348.0,235.0,-242.0,-355.0
2021-03-01,4139.0,-2799.0,-1234.0,106.0
2022-03-01,-724.0,1165.0,-403.0,38.0
2023-03-01,1370.0,-1814.0,457.0,13.0
2024-03-01,1695.0,-189.0,-1329.0,177.0
2025-03-01,-541.0,546.0,-7.0,-2.0
