date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2013-12-01,716.0,-790.0,-47.0,-121.0
2014-12-01,1047.0,-1214.0,-162.0,-329.0
2016-03-01,1463.0,-1001.0,-466.0,-4.0
2017-03-01,1708.0,-1744.0,25.0,-10.0
2018-03-01,2482.0,-2145.0,-262.0,75.0
2019-03-01,1575.0,-660.0,-292.0,623.0
2020-03-01,1694.0,-1508.0,-858.0,-673.0
2021-03-01,1691.0,-1625.0,-15.0,51.0
2022-03-01,1527.0,-983.0,-593.0,-50.0
2023-03-01,2823.0,-2397.0,-417.0,8.0
2024-03-01,3724.0,-2834.0,-844.0,45.0
2025-03-01,3980.0,-2461.0,-1399.0,121.0
