date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,1596.0,291.0,-972.0,915.0
2015-03-01,2448.0,-1865.0,-829.0,-246.0
2016-03-01,3137.0,-1453.0,-496.0,1188.0
2017-03-01,4071.0,-2893.0,-1571.0,-392.0
2018-03-01,3554.0,-3319.0,-269.0,-35.0
2019-03-01,4432.0,-2104.0,-2251.0,77.0
2020-03-01,4358.0,1081.0,-4466.0,974.0
2021-03-01,8094.0,-5433.0,-2987.0,-326.0
2022-03-01,5285.0,480.0,-4667.0,1098.0
2023-03-01,5572.0,-226.0,-5078.0,267.0
2024-03-01,6376.0,-1318.0,-4767.0,291.0
2025-03-01,5786.0,20.0,-5834.0,-29.0
