date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,88.0,-109.0,-128.0,-149.0
2015-03-01,122.0,15.0,-77.0,61.0
2016-03-01,138.0,-64.0,-83.0,-9.0
2017-03-01,177.0,-220.0,47.0,4.0
2018-03-01,191.0,-296.0,184.0,80.0
2019-03-01,556.0,-155.0,-143.0,258.0
2020-03-01,146.0,-151.0,-126.0,-131.0
2021-03-01,442.0,-428.0,61.0,74.0
2022-03-01,280.0,-179.0,-304.0,-203.0
2023-03-01,358.0,-931.0,1311.0,738.0
2024-03-01,656.0,-712.0,256.0,200.0
2025-03-01,558.0,-1463.0,1283.0,378.0
