date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-06-01,6457.0,-4842.0,-1308.0,307.0
2015-06-01,5539.0,-2088.0,-3140.0,311.0
2016-03-01,3823.0,-2208.0,-2237.0,-623.0
2017-03-01,8995.0,-3890.0,-4517.0,588.0
2018-03-01,8328.0,-2236.0,-5714.0,378.0
2019-03-01,8971.0,-3256.0,-1471.0,4244.0
2020-03-01,13359.0,-12332.0,-3168.0,-2141.0
2021-03-01,19618.0,-5665.0,-11192.0,2761.0
2022-03-01,16900.0,1597.0,-14508.0,3989.0
2023-03-01,18009.0,-3573.0,-15881.0,-1445.0
2024-03-01,22448.0,-6608.0,-15464.0,376.0
2025-03-01,22261.0,-4896.0,-18561.0,-1196.0
