date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,1563.0,-1265.0,-266.0,33.0
2015-03-01,1173.0,-950.0,165.0,388.0
2016-03-01,1741.0,-4533.0,3104.0,312.0
2017-03-01,2382.0,-1304.0,-1326.0,-248.0
2018-03-01,1463.0,-834.0,-385.0,243.0
2019-03-01,1691.0,-1688.0,-349.0,-345.0
2020-03-01,3068.0,114.0,-2949.0,234.0
2021-03-01,3755.0,-2374.0,-1240.0,141.0
2022-03-01,3326.0,-1858.0,-1600.0,-132.0
2023-03-01,3238.0,-2376.0,-958.0,-97.0
2024-03-01,4134.0,-2982.0,-1200.0,-49.0
2025-03-01,5005.0,-3682.0,-1293.0,30.0
