date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,19142.0,-791.0,3583.0,21934.0
2015-03-01,26297.0,-3424.0,-1553.0,21320.0
2016-03-01,14477.0,-2747.0,4348.0,16078.0
2017-03-01,77406.0,-4572.0,-4196.0,68638.0
2018-03-01,-96508.0,13053.0,5547.0,-77908.0
2019-03-01,29556.0,220.0,448.0,30223.0
2020-03-01,23929.0,-555.0,5430.0,28803.0
2021-03-01,89919.0,-3670.0,7143.0,93392.0
2022-03-01,57695.0,-2652.0,-3845.0,51198.0
2023-03-01,-86014.0,-966.0,6386.0,-80593.0
2024-03-01,21632.0,-3476.0,-9896.0,8260.0
2025-03-01,48486.0,-3387.0,-13739.0,31361.0
