date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,671.0,-246.0,-357.0,68.0
2015-03-01,584.0,-450.0,-181.0,-47.0
2016-03-01,959.0,-705.0,-246.0,8.0
2017-03-01,441.0,-150.0,-295.0,-4.0
2018-03-01,1249.0,-957.0,-232.0,60.0
2019-03-01,1156.0,-852.0,-353.0,-49.0
2020-03-01,1485.0,-1526.0,58.0,17.0
2021-03-01,1876.0,433.0,-2242.0,66.0
2022-03-01,1300.0,914.0,-2246.0,-32.0
2023-03-01,2526.0,-1507.0,-1028.0,-9.0
2024-03-01,2573.0,485.0,-2839.0,219.0
2025-03-01,2481.0,87.0,-2762.0,-194.0
