date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,7956.0,-8095.0,1493.0,1353.0
2015-03-01,7143.0,-3873.0,-2437.0,833.0
2016-03-01,11688.0,-3220.0,-8862.0,-394.0
2017-03-01,12687.0,-2876.0,-5552.0,4259.0
2018-03-01,10898.0,5333.0,-16412.0,-181.0
2019-03-01,11977.0,-5456.0,-5466.0,1055.0
2020-03-01,12745.0,-7227.0,6656.0,12174.0
2021-03-01,17232.0,-25280.0,-4882.0,-12930.0
2022-03-01,16838.0,-6773.0,-6765.0,3300.0
2023-03-01,19208.0,-7559.0,-10450.0,1199.0
2024-03-01,24056.0,-14267.0,-10817.0,-1028.0
2025-03-01,24410.0,-24609.0,-1816.0,-2015.0
