date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,422.0,-1.0,-363.0,57.0
2015-03-01,418.0,-207.0,-392.0,-182.0
2016-03-01,116.0,145.0,-282.0,-21.0
2017-03-01,741.0,145.0,-816.0,70.0
2018-03-01,356.0,-31.0,-30.0,294.0
2019-03-01,210.0,53.0,-224.0,39.0
2020-03-01,1082.0,-622.0,-308.0,152.0
2021-03-01,1656.0,-346.0,-426.0,884.0
2022-03-01,1516.0,-1317.0,-995.0,-796.0
2023-03-01,1461.0,-834.0,-714.0,-87.0
2024-03-01,1937.0,-1911.0,256.0,281.0
2025-03-01,2057.0,-2303.0,453.0,206.0
