date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,6790.0,-284.0,-3570.0,2936.0
2015-03-01,7840.0,-2537.0,-830.0,4474.0
2016-03-01,7887.0,-13761.0,-159.0,-6032.0
2017-03-01,9277.0,-11770.0,-2275.0,-4767.0
2018-03-01,8423.0,3595.0,-12998.0,-979.0
2019-03-01,11632.0,5065.0,-4937.0,11760.0
2020-03-01,10064.0,3593.0,-15100.0,-1442.0
2021-03-01,14755.0,685.0,-12884.0,2556.0
2022-03-01,11080.0,-22321.0,4659.0,-6583.0
2023-03-01,13060.0,-8169.0,-6088.0,-1197.0
2024-03-01,17622.0,1144.0,-18257.0,509.0
2025-03-01,16943.0,-8044.0,-6396.0,2502.0
